institute,institute_short,program,program_core,quota,seat_type,gender,opening_rank,closing_rank,degree,duration_years,degree_type,is_dual
Indian Institute of Technology Bombay,IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,AI,OPEN,Gender-Neutral,122,1539,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,AI,OPEN,Female-only,3126,5593,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",Environmental Science and Engineering,AI,OPEN,Gender-Neutral,3143,4777,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",Environmental Science and Engineering,AI,OPEN,Female-only,8026,8925,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",Industrial Engineering and Operations Research,AI,OPEN,Gender-Neutral,264,1273,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",Industrial Engineering and Operations Research,AI,OPEN,Female-only,2669,3012,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Gender-Neutral,490,1834,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Female-only,2816,4693,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Metallurgical Engineering and Materials Science,AI,OPEN,Gender-Neutral,2712,4345,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Metallurgical Engineering and Materials Science,AI,OPEN,Female-only,6628,8075,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",B.Tech in General Engineering,AI,OPEN,Gender-Neutral,8480,11034,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",B.Tech in General Engineering,AI,OPEN,Female-only,16970,17710,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",B.Tech in Materials Science and Engineering,AI,OPEN,Gender-Neutral,12260,14368,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",B.Tech in Materials Science and Engineering,AI,OPEN,Female-only,23443,23642,"4 Years, Bachelor of Technology",4,B.Tech,no
