institute_short,program_core,avg_lpa,median_lpa,highest_lpa,placement_pct,source
IIT Kanpur,Chemistry,14.83,12.00,,,IIT Kanpur placement 2025
IIT Kanpur,Civil Engineering,19.17,18.60,,,IIT Kanpur placement 2025
IIT Kanpur,Computer Science and Engineering,48.15,35.00,,,IIT Kanpur placement 2025
IIT Kanpur,Earth Sciences,25.38,23.76,,,IIT Kanpur placement 2025
IIT Kanpur,Economics,23.03,20.46,,,IIT Kanpur placement 2025
IIT Kanpur,Electrical Engineering,38.12,29.08,,,IIT Kanpur placement 2025
IIT Kanpur,Materials Science and Engineering,20.99,18.37,,,IIT Kanpur placement 2025
IIT Kanpur,Mathematics and Scientific Computing,30.63,27.73,,,IIT Kanpur placement 2025
IIT Kanpur,Mechanical Engineering,21.46,20.11,,,IIT Kanpur placement 2025
IIT Kanpur,Physics,23.03,26.00,,,IIT Kanpur placement 2025
IIT Kanpur,Statistics and Data Science,32.45,35.00,,,IIT Kanpur placement 2025
IIT Jodhpur,Computer Science and Engineering,21.26,16.00,,98.84,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Artificial Intelligence and Data Science,18.22,13.38,,97.96,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Electrical Engineering,15.98,13.00,,88.06,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Mechanical Engineering,14.76,15.10,,75.00,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Materials Engineering,13.21,12.79,,60.87,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Bio Engineering,14.08,12.00,,69.23,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Chemical Engineering,11.66,10.50,,80.95,IIT Jodhpur B.Tech placement 2025
IIT Jodhpur,Civil and Infrastructure Engineering,11.34,11.25,,57.14,IIT Jodhpur B.Tech placement 2025
IIT Ropar,Chemical Engineering,18.56,18.00,40.00,,IIT Ropar placement 2024-25
IIT Ropar,Civil Engineering,11.92,12.00,20.00,,IIT Ropar placement 2024-25
IIT Ropar,Computer Science and Engineering,31.92,26.75,65.76,,IIT Ropar placement 2024-25
IIT Ropar,Electrical Engineering,25.61,20.11,65.76,,IIT Ropar placement 2024-25
IIT Ropar,Mathematics and Computing,24.01,16.51,65.76,,IIT Ropar placement 2024-25
IIT Ropar,Mechanical Engineering,14.04,14.40,25.25,,IIT Ropar placement 2024-25
IIT Ropar,Metallurgical and Materials Engineering,12.69,12.77,21.00,,IIT Ropar placement 2024-25
IIT Delhi,Biotechnology and Biochemical Engineering,,,,53.57,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Chemical Engineering,,,,80.00,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Civil Engineering,,,,56.79,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Computer Science and Engineering,,,,90.35,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Electrical Engineering,,,,86.99,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Electrical Engineering (Power and Automation),,,,82.46,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Energy Engineering,,,,87.50,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Engineering Physics,,,,56.52,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Engineering and Computational Mechanics,,,,55.26,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Materials Engineering,,,,61.76,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Mathematics and Computing,,,,85.71,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Mechanical Engineering,,,,69.44,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Production and Industrial Engineering,,,,53.33,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
IIT Delhi,Textile Technology,,,,53.09,IIT Delhi placement 2024-25 (placement rate only; till 31 Dec 2024)
